Total_runs	Proportion_of_Starting_failure	Proportion_failure_after_draws
61	0.21311475409836064	0.06557377049180328
62	0.22580645161290322	0.06451612903225806
63	0.2222222222222222	0.06349206349206349
64	0.21875	0.0625
65	0.23076923076923078	0.07692307692307693
66	0.22727272727272727	0.07575757575757576
67	0.22388059701492538	0.07462686567164178
68	0.22058823529411764	0.07352941176470588
69	0.21739130434782608	0.07246376811594203
70	0.21428571428571427	0.07142857142857142
71	0.22535211267605634	0.08450704225352113
72	0.2222222222222222	0.08333333333333333
73	0.2191780821917808	0.0821917808219178
74	0.21621621621621623	0.08108108108108109
75	0.21333333333333335	0.08
76	0.21052631578947367	0.07894736842105263
77	0.2077922077922078	0.07792207792207792
78	0.20512820512820512	0.07692307692307693
79	0.21518987341772153	0.0759493670886076
80	0.225	0.0875
81	0.2222222222222222	0.08641975308641975
82	0.21951219512195122	0.08536585365853659
83	0.2289156626506024	0.0963855421686747
84	0.2261904761904762	0.09523809523809523
85	0.23529411764705882	0.10588235294117647
86	0.2441860465116279	0.11627906976744186
87	0.2413793103448276	0.11494252873563218
88	0.23863636363636365	0.11363636363636363
89	0.23595505617977527	0.11235955056179775
90	0.23333333333333334	0.1111111111111111
91	0.24175824175824176	0.10989010989010989
92	0.25	0.10869565217391304
93	0.25806451612903225	0.11827956989247312
94	0.2553191489361702	0.11702127659574468
95	0.25263157894736843	0.11578947368421053
96	0.25	0.11458333333333333
97	0.24742268041237114	0.1134020618556701
98	0.24489795918367346	0.11224489795918367
99	0.24242424242424243	0.1111111111111111
100	0.24	0.11
101	0.2376237623762376	0.10891089108910891
102	0.24509803921568626	0.11764705882352941
103	0.24271844660194175	0.11650485436893204
104	0.25	0.11538461538461539
105	0.24761904761904763	0.11428571428571428
106	0.24528301886792453	0.11320754716981132
107	0.24299065420560748	0.11214953271028037
108	0.24074074074074073	0.1111111111111111
109	0.23853211009174313	0.11009174311926606
110	0.23636363636363636	0.10909090909090909
111	0.23423423423423423	0.10810810810810811
112	0.23214285714285715	0.10714285714285714
113	0.23008849557522124	0.10619469026548672
114	0.22807017543859648	0.10526315789473684
115	0.23478260869565218	0.10434782608695652
116	0.23275862068965517	0.10344827586206896
117	0.23931623931623933	0.10256410256410256
118	0.2457627118644068	0.1016949152542373
119	0.25210084033613445	0.1092436974789916
120	0.25	0.10833333333333334
121	0.24793388429752067	0.10743801652892562
122	0.2540983606557377	0.10655737704918032
123	0.25203252032520324	0.10569105691056911
124	0.25	0.10483870967741936
125	0.248	0.104
126	0.24603174603174602	0.10317460317460317
127	0.2440944881889764	0.10236220472440945
128	0.2421875	0.1015625
129	0.24806201550387597	0.10077519379844961
130	0.24615384615384617	0.1
131	0.24427480916030533	0.09923664122137404
132	0.24242424242424243	0.09848484848484848
133	0.24812030075187969	0.09774436090225563
134	0.2462686567164179	0.09701492537313433
135	0.2518518518518518	0.0962962962962963
136	0.25	0.09558823529411764
137	0.25547445255474455	0.0948905109489051
138	0.2536231884057971	0.09420289855072464
139	0.2517985611510791	0.09352517985611511
140	0.2571428571428571	0.09285714285714286
141	0.2553191489361702	0.09219858156028368
142	0.2605633802816901	0.09859154929577464
143	0.25874125874125875	0.0979020979020979
144	0.2569444444444444	0.09722222222222222
145	0.2620689655172414	0.10344827586206896
146	0.2602739726027397	0.10273972602739725
147	0.2585034013605442	0.10204081632653061
148	0.25675675675675674	0.10135135135135136
149	0.2550335570469799	0.10067114093959731
150	0.25333333333333335	0.1
151	0.25165562913907286	0.09933774834437085
152	0.25	0.09868421052631579
153	0.24836601307189543	0.09803921568627451
154	0.24675324675324675	0.09740259740259741
155	0.24516129032258063	0.0967741935483871
156	0.24358974358974358	0.09615384615384616
157	0.24203821656050956	0.09554140127388536
158	0.24050632911392406	0.0949367088607595
159	0.2389937106918239	0.09433962264150944
160	0.2375	0.09375
161	0.2360248447204969	0.09316770186335403
162	0.2345679012345679	0.09259259259259259
163	0.2331288343558282	0.09202453987730061
164	0.23170731707317074	0.09146341463414634
165	0.23030303030303031	0.09090909090909091
166	0.2289156626506024	0.09036144578313253
167	0.2275449101796407	0.08982035928143713
168	0.2261904761904762	0.08928571428571429
169	0.22485207100591717	0.08875739644970414
170	0.2235294117647059	0.08823529411764706
171	0.2222222222222222	0.08771929824561403
172	0.22674418604651161	0.0872093023255814
173	0.23121387283236994	0.09248554913294797
174	0.22988505747126436	0.09195402298850575
175	0.22857142857142856	0.09142857142857143
176	0.22727272727272727	0.09090909090909091
177	0.22598870056497175	0.0903954802259887
178	0.2303370786516854	0.0898876404494382
179	0.22905027932960895	0.0893854748603352
180	0.22777777777777777	0.08888888888888889
181	0.2265193370165746	0.08839779005524862
182	0.22527472527472528	0.08791208791208792
183	0.22404371584699453	0.08743169398907104
184	0.22826086956521738	0.08695652173913043
185	0.22702702702702704	0.08648648648648649
186	0.22580645161290322	0.08602150537634409
187	0.22459893048128343	0.0855614973262032
188	0.22340425531914893	0.0851063829787234
189	0.2222222222222222	0.08465608465608465
190	0.22105263157894736	0.08421052631578947
191	0.2198952879581152	0.08376963350785341
192	0.21875	0.08333333333333333
193	0.21761658031088082	0.08290155440414508
194	0.22164948453608246	0.08247422680412371
195	0.2205128205128205	0.08205128205128205
196	0.2193877551020408	0.08163265306122448
197	0.2182741116751269	0.08121827411167512
198	0.21717171717171718	0.08080808080808081
199	0.21608040201005024	0.08040201005025126
200	0.215	0.08
